"release_clause_eur_m","international_reputation","power_stamina","defending_sliding_tackle","age","is_internacional.1","years_remaining","years_in_club","category.Delantero","value_eur_m"
0.42,1,51,49,18,0,2,2,1,0.24
0.594,1,64,62,30,0,1,3,0,0.475
26.7,1,69,75,28,0,2,5,0,13.5
3,1,68,39,27,0,2,2,0,1.7
3.4,1,68,32,24,0,0,8,1,1.6
42,1,84,57,28,0,3,4,0,21
0.609,1,83,60,27,0,0,3,1,0.375
1.1,1,58,28,19,0,2,1,1,0.575
24.2,1,78,74,21,1,2,2,0,11.5
9.9,2,69,60,29,1,0,5,1,5.5
2,1,71,19,32,1,0,4,1,1.1
3.1,1,74,41,28,0,1,2,1,1.4
0.648,1,58,55,25,0,1,1,1,0.425
0.834,1,68,64,31,0,0,2,0,0.575
3.3,1,63,56,20,0,2,3,1,1.2
0.882,1,51,50,18,0,1,2,1,0.425
6.8,1,68,63,21,0,4,1,1,2.8
1,1,59,66,33,0,0,1,0,0.575
1.1,1,91,55,27,0,1,1,0,0.625
0.606,1,66,60,26,0,0,1,1,0.425
2.9,1,84,65,27,0,2,5,0,1.3
1.5,1,47,24,18,0,1,2,1,0.625
0.426,1,52,53,22,0,0,5,0,0.275
3.7,1,50,31,19,0,2,5,1,1.5
0.949,1,50,60,24,0,0,2,1,0.575
1.4,1,71,73,33,0,0,1,1,0.9
21,2,73,67,27,0,3,1,0,15
1.8,1,54,55,23,0,-1,1,1,0.75
3.2,1,88,56,24,0,0,2,0,1.8
1.1,1,76,54,25,0,-1,4,0,0.8
10.9,1,77,71,25,0,0,7,1,5
2.2,2,61,72,29,0,0,6,1,1.3
0.908,1,57,21,21,0,2,1,1,0.55
0.825,1,61,38,22,0,1,1,1,0.5
0.551,1,69,52,24,0,-1,2,1,0.35
6.1,1,69,63,20,0,2,4,1,2.9
1.6,1,67,57,19,0,1,3,0,0.75
3.1,1,62,67,26,0,1,1,1,1.5
2.2,1,79,63,20,0,0,4,1,1.4
2.2,1,41,26,24,0,-1,1,0,0.975
1.2,1,87,64,29,0,0,3,1,0.875
7.4,1,65,70,19,0,1,3,1,2.7
1.3,1,55,58,23,0,3,1,0,0.625
0.659,1,67,11,18,0,1,4,1,0.425
1.2,1,34,57,27,0,2,1,1,0.65
0.821,1,56,48,18,0,0,3,1,0.325
1.3,1,59,50,19,0,1,4,1,0.525
0.42,1,74,53,26,0,0,1,1,0.24
0.853,1,63,55,26,0,2,1,0,0.525
1.1,1,70,44,31,0,0,1,0,0.7
5.9,1,88,67,21,0,2,2,0,3.6
0.89,1,55,44,20,0,3,1,1,0.4
1.3,1,71,28,31,1,1,1,1,0.725
66.4,1,71,24,24,0,2,2,1,32
27.6,1,75,80,30,0,3,5,0,14.5
5.8,1,65,72,28,1,1,5,0,3.1
1.4,1,51,30,27,0,1,3,1,0.975
1.8,1,90,60,29,0,1,1,0,1
0.563,1,55,58,17,0,2,1,1,0.3
5.7,1,55,17,26,0,0,2,1,2.5
4.1,1,72,45,24,0,1,1,0,1.9
3.1,1,56,27,22,0,2,2,1,1.3
12.4,1,69,70,23,1,2,2,1,6.5
1.3,1,64,43,28,0,-1,2,1,1
4,1,72,59,21,0,2,1,1,2.3
3.8,1,59,19,21,0,2,1,1,1.9
0.963,1,50,17,22,0,0,1,1,0.55
3.7,1,56,63,20,0,4,1,1,1.3
0.189,1,56,41,22,0,0,1,1,0.13
35.7,1,68,77,23,0,0,3,0,15.5
1.1,1,60,44,20,0,2,3,1,0.6
0.821,1,53,60,23,0,0,2,1,0.45
1.1,1,63,62,24,0,1,1,0,0.65
1.4,1,68,41,20,0,0,2,1,0.725
0.279,1,71,50,23,0,0,2,0,0.18
1.3,1,74,21,31,0,0,2,1,0.85
12,1,69,58,21,0,2,3,0,6
6.1,1,86,66,27,1,3,1,1,3.2
2.5,1,70,56,28,0,0,3,0,1.2
2,1,87,65,25,0,0,2,1,1.1
14.8,1,71,28,25,0,1,3,1,7.5
0.66,1,63,45,29,0,1,5,1,0.4
4.3,1,76,63,21,0,0,4,0,2.7
34.2,1,82,78,28,0,2,3,1,16.5
1.5,1,66,73,34,0,0,2,0,1
2.3,1,65,64,21,0,0,2,0,1.3
4.3,1,69,65,19,0,0,3,1,1.6
3.1,1,78,44,23,0,1,2,1,1.9
0.833,1,57,19,22,0,1,4,0,0.45
4.4,1,53,18,21,0,4,2,1,1.8
1.9,1,65,65,28,1,-1,4,0,0.85
1.9,1,73,62,24,0,0,1,1,1.1
2.1,1,65,38,21,0,0,1,1,0.9
0.518,1,75,50,26,0,0,1,1,0.3
2.1,1,78,67,29,0,0,2,0,1.4
0.213,1,60,57,30,0,-1,4,1,0.17
0.186,1,57,60,33,0,-1,2,0,0.12
0.945,1,63,30,23,0,2,3,1,0.525
0.234,1,54,37,19,0,3,3,1,0.11
0.531,1,43,27,19,0,-1,3,1,0.25
1.5,1,29,17,34,0,-1,3,1,0.675
0.808,1,58,62,22,0,4,1,1,0.475
0.425,1,49,25,23,0,1,2,1,0.25
2,1,70,21,25,0,1,2,1,1.1
0.264,1,54,52,31,0,-1,3,0,0.17
10.3,1,53,76,25,0,2,1,0,5.5
15.3,1,91,68,23,0,3,3,0,9
7.3,2,83,39,28,0,2,6,0,4.3
0.569,1,62,16,21,0,-1,4,1,0.325
15.2,1,73,35,27,0,1,1,1,8
1,1,72,12,34,0,-1,1,1,0.775
60.2,2,77,34,26,0,1,4,1,30.5
0.525,1,65,48,21,0,-1,1,1,0.3
4.2,2,61,74,31,0,0,4,1,2.2
1.3,1,79,46,24,0,0,3,0,0.8
0.958,1,70,53,24,0,0,1,1,0.525
8.4,1,76,28,22,0,4,1,1,4.2
1.1,1,79,68,34,0,0,6,1,0.525
0.344,1,59,30,26,0,-1,2,1,0.275
0.78,1,50,23,21,0,2,2,1,0.4
0.221,1,53,40,22,0,-1,1,1,0.13
3.2,1,80,17,23,0,2,1,1,1.9
6.7,1,67,64,21,0,4,1,1,3.2
2.6,1,81,64,30,0,1,5,0,1.5
1.6,1,65,23,23,0,0,3,0,0.925
0.7,1,62,35,34,0,0,2,1,0.4
14.4,1,53,71,27,0,2,1,0,8
1,1,81,61,33,0,0,4,0,0.575
1.6,1,90,55,30,1,2,2,0,1.3
11.5,1,71,60,22,0,4,1,1,5
2,1,78,58,23,0,0,3,0,1.4
0.7,1,61,37,24,0,-1,7,1,0.4
3.5,1,71,24,20,0,2,1,1,2.1
5.4,1,75,69,25,0,0,9,1,2.5
4.4,1,55,45,19,0,2,1,1,2
1.4,1,75,67,29,0,0,2,0,0.85
9.7,1,63,70,21,0,4,5,1,3.7
0.641,1,68,64,33,0,-1,2,0,0.475
1.5,1,63,72,31,0,0,3,1,0.95
1.5,1,60,29,31,0,0,1,1,0.85
19.3,1,74,76,27,1,3,9,0,8.5
0.844,1,67,65,31,0,2,1,0,0.625
1.6,1,79,53,25,0,1,2,0,1.1
2.2,1,73,60,25,0,1,4,1,1.5
0.594,1,71,58,30,0,1,4,0,0.475
0.616,1,68,55,22,0,1,1,1,0.425
141.2,3,76,33,25,1,4,9,1,71.5
6.7,1,68,21,23,0,2,1,0,3.5
1.7,1,65,64,24,0,2,1,0,1.2
2.7,1,70,57,25,0,1,6,1,1.6
0.915,1,61,59,25,0,2,3,1,0.6
1.4,1,65,20,24,0,1,2,1,0.775
26.4,1,68,73,22,0,3,5,1,12
0.31,1,73,44,23,0,2,1,1,0.2
8.4,1,62,35,21,0,3,1,1,4.2
0.585,1,63,55,24,0,0,1,0,0.3
0.848,1,53,45,19,0,4,1,1,0.3
3.6,1,60,65,22,0,-1,3,0,2.5
4,1,73,55,22,0,0,4,1,2.4
53.3,2,82,74,22,0,1,5,0,27
2,1,70,20,26,0,0,2,1,1.1
1.1,1,57,62,19,0,0,1,0,0.6
2.1,1,64,65,19,0,3,3,1,0.975
9.7,1,71,71,23,0,1,3,0,4.4
2.4,1,61,24,19,0,2,1,1,0.95
2.4,1,72,65,22,0,1,3,0,1.6
0.228,1,40,34,25,0,1,1,1,0.16
1.2,1,63,60,30,0,-1,8,0,0.575
0.375,1,40,53,18,0,1,1,1,0.19
3.5,1,54,71,32,0,3,1,0,2.7
0.444,1,57,53,26,0,0,8,1,0.25
0.761,1,64,59,21,0,0,4,1,0.525
1.8,1,93,63,31,0,-1,4,0,1.3
1.6,1,79,64,26,0,2,1,0,0.725
1.2,1,65,63,27,0,1,2,1,0.8
0.406,1,58,48,31,0,0,2,1,0.325
1.2,1,63,61,24,0,3,2,1,0.675
1.4,1,74,47,25,0,1,2,0,0.95
2.5,1,62,19,17,0,0,2,1,0.775
2.3,1,68,64,24,0,1,1,0,1.4
2.9,1,78,62,28,0,1,3,1,1.9
1.1,1,58,32,19,0,3,1,1,0.5
7.2,1,85,71,28,0,1,2,1,3.8
1.5,1,57,33,26,0,0,5,1,1
0.21,1,54,54,22,0,-1,3,1,0.12
6.8,1,69,31,28,0,1,6,1,3.1
43.4,3,63,32,29,1,2,1,1,25.5
4.3,1,62,33,22,0,2,2,1,2.5
1.4,1,65,58,19,0,3,2,1,0.9
2.7,1,67,17,22,0,2,1,1,1.3
2.7,1,71,66,25,0,1,1,1,1.6
0.447,1,55,53,23,0,-1,1,0,0.275
1.1,1,73,29,26,0,1,1,1,0.625
3.6,1,87,60,24,0,3,4,0,2.4
2.5,1,79,69,28,1,1,1,1,1.7
1.8,1,77,61,23,0,1,1,1,1.1
0.979,1,75,62,29,0,1,1,0,0.725
4.3,1,67,65,24,0,-1,1,1,1.8
0.341,1,62,53,27,0,1,3,0,0.22
4.9,1,59,64,21,0,-1,4,0,2.1
3.1,1,84,65,26,0,2,5,0,2
6.2,1,73,24,23,0,2,2,1,3.1
0.569,1,71,60,31,0,0,3,0,0.325
2.3,1,72,64,25,0,1,2,0,1.6
0.334,1,53,55,23,0,-1,4,1,0.23
1.1,1,63,20,27,0,1,2,1,0.625
1.3,1,58,25,22,0,0,2,1,0.9
0.866,1,62,56,21,0,1,4,1,0.525
0.9,1,60,24,21,0,1,1,1,0.5
18,1,78,73,27,0,2,1,0,10
2.4,1,85,63,32,0,0,1,0,1.1
0.534,1,65,62,25,0,0,5,0,0.375
10.6,1,81,50,22,0,1,6,1,4.8
11.3,1,80,70,29,0,2,1,0,7.5
0.553,1,64,60,29,0,0,10,0,0.425
2.3,1,63,17,21,0,1,4,1,1.1
2.1,1,53,23,24,0,0,1,1,1.5
0.784,1,64,34,27,0,1,2,1,0.55
6.1,1,64,59,26,0,0,6,1,2.8
3.9,1,65,68,21,0,3,1,0,2.2
2.9,1,42,67,23,0,3,2,1,1.5
3.2,1,72,62,19,0,4,2,1,1.4
12.6,1,75,72,23,0,0,7,1,6
0.502,1,65,57,26,0,1,1,1,0.275
0.594,1,70,58,27,0,2,1,1,0.475
0.866,1,53,18,24,0,0,1,1,0.525
2.3,1,78,60,25,0,2,2,1,1.4
29.5,2,67,75,23,0,1,4,0,15.5
0.541,1,66,22,20,0,4,1,1,0.23
1.3,1,65,61,22,0,1,4,1,0.85
5.5,1,73,16,23,0,2,1,0,2.5
2.2,1,72,12,19,0,2,3,0,1.1
5.8,2,65,77,34,0,0,1,1,3.4
21.7,1,54,76,27,0,4,1,0,11
1.8,1,82,28,30,0,-1,5,1,0.825
2.5,1,58,69,24,0,1,5,1,1.4
1,1,77,63,34,0,-1,1,0,0.475
4.6,1,58,28,30,0,0,2,0,2.9
1.8,1,77,69,31,0,2,1,1,1.4
3.7,1,76,27,24,0,1,2,1,2.4
2.1,1,66,71,28,0,2,6,0,1.6
0.202,1,55,18,20,0,2,2,1,0.13
1.8,1,50,22,21,0,1,2,1,0.9
0.906,1,82,53,28,0,-1,2,0,0.725
0.73,1,77,60,27,0,0,2,0,0.4
0.686,1,62,23,25,0,0,1,1,0.45
1.2,1,70,56,20,0,4,1,1,0.6
10.9,2,66,64,28,0,2,1,1,5.5
0.488,1,74,50,32,0,-1,1,1,0.325
0.719,1,72,62,33,0,0,1,0,0.575
2.3,1,78,61,21,0,0,2,0,1.2
2.6,1,72,52,28,0,-1,4,0,1.2
3.2,1,48,20,25,0,3,6,1,1.4
1.2,1,54,33,19,0,2,1,1,0.4
1.3,1,63,38,24,0,0,2,1,0.875
2.9,1,76,69,27,0,-1,1,0,1.9
1.7,1,73,70,31,0,3,3,1,1.1
6.8,1,92,73,29,0,2,1,1,3.6
1.1,1,40,62,21,0,1,4,1,0.55
5.5,1,55,26,22,0,3,4,1,2.5
1.2,1,66,57,19,0,2,2,1,0.45
2.2,1,84,61,25,0,2,1,0,1.4
0.33,1,51,41,19,0,1,2,1,0.2
0.928,1,78,60,27,0,2,3,1,0.675
0.962,1,64,56,24,0,1,8,0,0.675
2.6,1,53,34,21,0,3,1,1,1.5
1.8,1,65,18,21,0,0,4,1,0.75
4.5,1,73,64,19,0,3,1,1,2.1
19.8,1,90,34,23,1,2,2,0,9
1.3,1,57,67,31,0,0,1,1,0.7
1.6,1,59,26,19,0,3,1,1,0.625
1.8,1,74,21,31,0,0,4,1,1
2.1,1,62,54,21,0,0,1,1,1.1
1.1,1,77,63,29,0,1,3,1,0.725
2.5,1,77,67,26,0,1,5,1,1.6
9.5,2,67,79,33,0,1,1,0,5
0.744,1,90,55,30,0,0,3,0,0.425
0.778,1,63,58,19,0,1,3,1,0.375
3.4,1,80,27,28,0,0,7,1,1.6
6.5,1,72,27,22,0,3,1,1,3.8
3.5,1,73,68,24,0,3,3,0,2.1
3.1,1,81,63,26,0,2,1,0,1.9
2,1,68,65,29,0,1,1,1,1
16,1,69,71,24,0,3,1,0,8
3.8,1,78,59,27,0,2,1,1,2
0.867,1,52,32,27,0,0,2,1,0.475
0.656,1,52,38,18,0,1,1,1,0.35
2.4,1,51,23,28,0,0,1,1,1.2
8,2,78,74,31,0,1,1,0,5
0.297,1,65,30,32,0,0,2,1,0.18
0.814,1,75,67,26,0,0,9,1,0.525
0.723,1,63,53,24,0,-1,2,1,0.425
23,1,76,75,29,0,1,5,0,13.5
0.543,1,71,55,30,0,-1,1,0,0.35
0.744,1,80,58,30,0,0,1,1,0.425
0.45,1,59,42,19,0,-1,1,1,0.24
14,1,75,50,30,0,0,5,0,7
2.8,1,73,20,24,0,-1,2,1,1.8
1.5,1,62,20,20,0,2,2,1,0.875
13.8,1,80,77,24,0,3,1,1,6
1.2,1,63,20,23,0,-1,2,1,0.525
0.348,1,52,45,22,0,1,1,1,0.24
1.1,1,73,27,26,0,0,2,1,0.7
1.9,1,69,17,30,0,3,1,1,1.5
1.5,1,66,61,22,0,1,2,1,0.9
0.776,1,45,29,34,0,0,1,1,0.575
0.736,1,72,13,30,0,0,2,1,0.475
4.6,1,64,65,21,0,1,3,1,1.7
0.613,1,58,48,22,0,0,3,0,0.35
3.5,1,84,69,30,0,1,3,1,1.6
0.497,1,52,20,24,0,1,2,1,0.375
1.7,1,60,63,20,0,-1,2,0,1
1.1,1,62,22,31,0,0,2,1,0.85
8.8,1,67,36,29,0,2,1,1,5.5
0.913,1,50,60,27,0,1,1,0,0.5
17.1,1,83,71,22,0,3,1,1,9
0.88,1,66,18,36,0,-1,1,1,0.4
4.4,1,78,76,35,0,2,1,0,2.3
4.4,1,81,69,30,0,1,2,1,2.9
0.458,1,34,34,23,0,0,1,1,0.3
2.2,1,72,61,24,0,-1,4,1,1.3
0.31,1,67,55,26,0,-1,8,1,0.2
1.5,1,68,18,23,0,4,1,1,1.1
1.2,1,71,24,27,0,0,1,1,0.75
3,1,63,48,26,0,1,1,1,1.5
3.8,1,56,28,22,0,2,1,1,2.3
40.5,2,76,78,26,0,4,1,1,20.5
0.423,1,66,65,35,0,0,3,1,0.325
1.2,1,52,49,18,0,3,1,1,0.625
65.3,2,71,61,26,0,4,2,0,30
0.406,1,42,17,32,0,0,1,1,0.325
0.797,1,57,57,20,0,0,3,1,0.375
0.357,1,69,50,28,0,-1,1,0,0.23
2,1,58,56,17,0,1,2,1,0.775
1.5,1,63,27,23,0,1,3,1,0.925
0.805,2,56,32,34,0,0,1,1,0.575
4.6,1,65,43,21,0,4,1,1,2.3
0.385,1,46,25,18,0,-1,1,1,0.22
2.5,2,76,71,31,0,-1,1,0,1.7
13.4,1,89,50,27,1,2,3,0,8.5
0.928,1,73,23,25,0,0,3,0,0.7
25.5,3,90,50,30,0,3,9,0,17
6.3,2,74,71,31,1,0,1,0,3.8
1.8,1,49,47,23,0,0,2,1,1.1
3.5,1,57,68,21,0,2,1,1,1.8
8.8,1,67,72,22,0,2,2,1,4.4
2.4,1,80,28,29,0,2,1,1,1.9
1.7,1,83,40,30,0,2,9,0,0.975
12.2,2,91,72,27,0,0,5,0,6.5
1.8,1,47,25,24,0,-1,2,0,0.75
11.6,2,75,18,30,0,1,1,1,7
8,1,41,74,23,0,2,1,0,4.2
0.1,1,34,31,38,0,-1,2,1,0.08
6.8,1,81,63,23,0,2,1,0,3
0.299,1,68,46,25,0,2,1,0,0.21
1.6,1,87,56,31,0,2,1,1,0.825
1.1,1,69,54,20,0,0,2,1,0.575
3.4,1,71,64,30,0,-1,2,0,2.2
3.6,1,53,72,23,0,2,1,0,1.9
0.963,1,67,52,27,0,0,2,1,0.5
0.504,1,49,30,21,0,0,1,1,0.325
4,1,64,40,21,0,1,3,1,2.3
5.7,1,72,72,34,0,1,3,0,2.6
5.1,1,67,23,30,0,1,1,1,2.3
1.4,1,74,62,29,0,0,2,1,1
1.3,1,83,60,33,0,0,3,0,0.8
14.3,1,76,55,28,0,3,7,1,7.5
0.157,1,66,44,26,0,0,3,1,0.11
1.6,1,75,29,30,0,0,2,1,1.2
2.4,1,76,69,34,0,-1,5,0,1.1
1.9,1,66,61,23,0,0,6,1,1.1
1.9,1,85,59,27,0,2,1,0,1.4
0.86,1,76,65,34,0,-1,2,0,0.4
1.7,1,72,60,30,0,0,1,1,0.85
78.2,3,74,46,22,0,3,2,1,34
4.4,1,88,63,25,0,2,1,0,3.2
0.543,1,58,32,20,0,0,3,1,0.35
1.6,1,59,59,18,0,0,1,1,0.725
4.7,1,71,71,23,0,2,3,0,2.4
4.8,1,68,49,19,0,0,2,1,1.7
8.8,1,68,54,28,0,1,2,0,4.2
6.1,1,73,34,23,0,0,5,1,3.6
3.2,1,36,67,22,0,1,4,1,1.8
0.39,1,64,61,21,0,2,3,1,0.2
8.7,1,88,33,23,1,1,3,1,4.4
1.8,1,83,65,23,0,1,2,0,0.975
1.2,1,60,19,22,0,1,1,1,0.75
0.45,1,77,48,35,0,0,1,1,0.3
1.2,1,59,31,23,0,4,1,1,0.725
0.28,1,55,22,30,0,0,1,1,0.16
0.639,1,70,42,22,0,1,1,0,0.35
6.3,1,65,68,23,0,3,3,0,3
0.228,1,55,55,26,0,-1,2,1,0.14
0.58,1,62,52,28,0,0,4,0,0.4
0.278,1,60,52,18,0,1,2,1,0.11
6,1,81,71,25,0,2,1,0,2.9
1.6,1,53,16,26,0,2,1,1,1.1
0.211,1,62,51,26,0,0,2,1,0.13
0.468,1,57,24,22,0,-1,1,1,0.275
22.3,1,63,75,27,0,3,1,1,10.5
2.5,1,74,60,24,0,3,2,0,1.6
0.975,1,62,49,34,0,0,1,1,0.65
46.2,1,69,34,23,0,2,1,1,21
2.1,1,75,47,20,0,0,3,0,1.3
3.4,1,83,60,26,0,-1,6,0,2.4
1.2,1,84,57,26,0,1,1,1,0.675
0.626,1,51,41,18,0,1,2,1,0.325
143.2,3,75,88,23,1,3,2,0,83
4.5,1,84,20,23,0,2,1,1,2.8
6.5,1,60,29,21,0,0,2,0,3.6
1,1,76,24,23,0,0,7,1,0.525
1.1,1,61,11,29,0,3,8,1,0.575
1.8,1,62,51,24,0,1,1,1,1.1
4.6,2,47,76,32,0,0,3,0,2.7
1.4,1,54,58,22,0,2,1,1,0.825
2.5,1,78,35,26,0,1,1,1,1.7
0.552,1,59,50,21,0,4,1,1,0.23
2.3,1,69,62,22,0,0,4,1,1.3
4.6,1,82,58,23,0,0,7,1,2.2
2.6,1,51,44,20,0,0,2,1,1.3
3.4,1,65,69,23,0,1,2,0,2
0.638,1,68,52,18,0,4,1,1,0.23
2.6,1,71,64,23,0,2,1,1,1.4
2.7,1,64,63,32,0,0,5,1,1.8
1.8,1,66,51,20,0,1,5,0,0.75
10,1,80,72,27,0,1,7,0,4.4
1.2,1,68,65,27,0,0,1,1,0.675
29.5,1,73,44,22,0,4,1,1,15.5
1.2,1,71,62,24,0,0,2,1,0.675
0.593,1,63,57,22,0,0,2,0,0.325
0.213,1,61,61,31,0,-1,1,1,0.17
0.709,1,52,36,18,0,1,1,1,0.35
1.2,1,65,67,27,0,4,1,1,0.75
3.7,1,80,73,28,0,0,3,0,2.2
3.7,1,41,46,18,0,1,2,1,1.4
0.698,1,70,61,33,0,0,9,0,0.45
1.8,1,72,56,19,0,0,5,1,1.1
1.8,1,71,60,22,0,1,1,1,0.9
4.7,1,69,71,23,0,1,3,1,2.6
4.3,1,62,72,25,1,1,5,1,2.2
2.6,1,76,67,29,0,-1,1,1,1.2
0.968,1,87,68,33,0,-1,5,1,0.45
9.2,1,82,73,27,0,2,3,0,4.9
0.701,1,58,52,23,0,0,1,1,0.425
1.4,1,76,58,25,0,2,2,0,1
68.3,2,87,79,27,1,3,4,0,38.5
11.6,1,58,23,21,1,4,1,1,5.5
1.4,1,69,63,24,0,0,4,0,0.875
1.9,1,67,33,25,0,0,6,1,1.3
0.149,1,72,21,28,0,1,1,1,0.11
1.1,1,41,26,20,0,1,1,1,0.55
3.9,1,77,71,27,0,1,6,0,1.7
4.5,1,71,48,29,0,1,1,0,2.3
13.2,1,50,24,27,0,2,1,1,6
0.548,1,66,15,24,0,0,2,1,0.3
71.4,2,85,78,28,0,3,4,0,42
0.406,1,50,64,35,0,0,3,0,0.325
1.9,1,62,64,32,0,0,1,1,1
2.5,1,77,55,25,0,1,3,1,1.5
1.6,1,60,68,21,0,0,3,1,0.75
1.8,1,72,68,26,0,0,1,0,0.825
7.8,2,71,75,30,0,0,4,0,4.6
15.8,1,79,65,28,0,2,2,0,7.5
1.2,1,69,52,29,0,1,1,0,0.85
5.9,1,68,64,21,0,0,3,0,2.8
4.4,1,85,45,22,0,1,2,1,2.6
9.3,1,90,41,32,0,-1,2,0,6
37,2,64,24,25,1,4,1,1,17
0.534,1,57,60,27,0,1,1,1,0.35
0.563,1,54,32,19,0,0,1,1,0.3
3.1,1,71,67,24,0,1,2,0,1.9
0.356,1,57,30,20,0,0,1,1,0.19
1.1,1,47,20,33,0,-1,1,1,0.525
2.8,1,66,70,28,0,0,3,1,1.9
5.6,1,66,71,23,0,1,2,1,3
4,1,62,65,21,0,3,1,1,2.1
6.1,1,62,22,22,0,1,4,1,3.8
3.9,1,78,30,20,0,2,5,0,2.5
0.293,1,49,46,22,0,-1,4,1,0.18
4.1,1,84,47,23,0,0,6,1,2.4
1.8,1,73,57,25,0,0,1,0,1.2
0.264,1,65,55,32,0,3,3,1,0.16
0.74,1,57,60,24,0,0,3,1,0.4
0.319,1,66,51,19,0,0,1,1,0.22
0.819,1,70,38,26,0,2,1,1,0.575
3.7,1,68,60,19,0,0,1,0,1.3
0.958,1,71,62,23,0,0,8,1,0.525
5.5,1,59,74,25,0,2,2,1,3.1
0.504,1,36,65,34,0,0,2,0,0.325
1.1,1,65,56,20,0,1,1,1,0.525
2.6,1,71,68,30,0,0,1,0,1.2
124.4,3,91,82,24,1,4,1,0,63
2.6,1,58,58,30,0,0,2,1,1.8
2.4,1,76,68,29,0,1,1,1,1.6
3.6,1,79,64,24,0,2,1,0,1.7
2.3,1,76,64,25,0,4,1,1,1.4
2.4,1,80,64,25,1,0,4,0,1.7
0.543,1,68,42,19,0,2,1,1,0.35
64.2,2,91,75,23,0,4,1,0,32.5
0.825,1,48,23,21,0,1,1,1,0.5
5.9,1,62,26,20,0,0,4,1,2.5
7.7,3,61,30,33,1,1,1,0,3.5
8.4,1,76,65,23,1,2,1,1,4.4
1.9,1,76,56,24,0,0,4,1,1.3
1.7,1,71,18,27,0,1,1,1,1.2
2.3,1,70,71,28,0,0,2,1,1.2
0.831,1,57,63,22,0,0,4,1,0.475
0.261,1,57,43,19,0,0,1,1,0.11
0.594,1,62,35,30,0,1,5,1,0.475
2.4,1,66,17,31,0,0,2,1,1.2
2.4,1,71,65,19,0,4,2,1,1
1.9,1,62,56,29,0,0,2,0,1.2
0.674,1,61,55,19,0,2,3,1,0.325
3.6,1,84,63,23,0,1,6,1,2.5
1.9,1,75,62,25,0,1,2,0,1.4
3.3,1,68,66,26,0,1,2,0,1.5
197.6,3,73,86,24,0,2,6,1,93
6.1,1,75,71,32,0,1,2,1,2.9
2.3,1,83,32,30,0,0,1,1,1.8
6.3,1,75,73,25,0,4,1,0,2.9
1.3,1,43,26,20,0,0,3,1,0.55
0.426,1,59,23,20,0,1,1,1,0.275
3.5,1,48,21,31,0,0,1,1,2.5
3.7,1,74,64,21,0,2,1,1,2.2
1.7,1,58,18,23,0,0,2,1,0.975
1.5,1,52,51,21,0,1,3,1,0.6
5.1,1,59,25,18,0,4,1,1,1.6
1.9,1,54,18,18,0,3,2,1,0.825
2.9,1,62,22,27,0,1,1,1,2
5.4,1,76,48,21,0,2,6,1,2.7
0.986,1,66,56,20,0,0,3,1,0.475
2.1,1,79,54,31,0,0,1,0,1.3
47.3,1,86,25,23,0,3,2,1,21
2.8,1,69,68,26,0,0,3,1,1.5
23.1,2,76,38,27,0,2,1,0,11
0.399,1,31,24,36,0,-1,1,1,0.275
0.202,1,60,28,24,0,1,1,1,0.13
0.153,1,63,55,23,0,-1,2,1,0.09
4,1,80,60,29,0,2,1,1,1.8
2.6,1,95,31,22,0,1,1,0,1.7
0.362,1,54,37,25,0,0,7,1,0.21
1.6,1,81,60,25,0,0,1,0,1.1
0.743,1,88,70,30,0,0,4,0,0.55
1.2,1,71,69,34,0,0,5,0,0.6
1.9,1,58,49,18,0,2,2,1,1
3.9,1,73,56,26,0,0,1,1,1.7
0.613,1,57,42,20,0,1,3,0,0.35
1.5,1,75,39,29,0,1,1,1,0.85
2,1,54,61,18,0,4,1,1,0.725
1.4,1,61,20,25,0,2,1,1,0.875
5.1,1,62,32,19,0,3,2,1,2
2.9,1,83,62,29,0,1,2,0,2
13.3,1,78,60,25,0,2,2,0,7.5
9.9,1,86,57,31,0,1,1,1,6
0.814,1,63,63,22,0,0,1,0,0.525
0.666,1,67,25,23,0,0,2,1,0.325
0.42,1,67,57,23,0,1,3,1,0.24
2.5,1,58,69,20,0,2,5,0,1.3
0.193,1,45,34,34,0,0,2,1,0.11
1.7,1,48,55,17,0,3,2,1,0.6
1.2,1,66,66,31,0,1,1,0,0.7
3,1,66,68,25,0,2,2,0,1.8
0.356,1,67,53,27,0,0,1,1,0.25
2.5,1,64,33,25,0,1,1,1,1.6
0.233,1,51,55,32,0,-1,3,0,0.15
2.7,1,63,65,22,0,1,2,1,1.6
44.6,2,86,77,26,0,4,4,0,20.5
4.5,1,85,51,23,0,-1,1,1,1.9
0.488,1,54,15,23,0,0,1,1,0.25
1.8,1,67,17,22,0,1,1,0,1.1
10.4,1,72,68,21,0,5,1,1,4.5
0.819,1,78,66,26,0,0,1,1,0.575
1,1,75,32,19,0,2,4,1,0.525
1.1,1,53,62,24,0,0,2,1,0.5
2.3,1,73,37,27,0,1,3,0,1.6
0.66,1,77,58,29,0,1,6,0,0.4
2.7,1,74,50,29,1,0,3,1,1.6
1.4,1,83,35,34,0,-1,10,1,0.65
4.9,1,61,21,24,0,2,2,1,2.5
0.104,1,38,54,34,0,-1,2,1,0.08
0.839,1,60,27,18,0,0,1,1,0.425
3,1,73,68,23,0,0,1,0,1.8
2.9,1,64,17,22,0,1,3,1,1.9
1.6,1,62,37,23,0,0,1,1,0.975
11.4,1,61,26,25,0,1,2,0,5.5
