"release_clause_eur_m","overall","potential","wage_eur_m","movement_reactions","skill_ball_control","age","value_eur_m"
1.4,66,67,0.24,59,69,27,0.975
1.8,67,67,0.096,66,66,29,1
0.563,55,74,0.024,43,31,17,0.3
5.7,71,74,0.036,70,69,26,2.5
4.1,69,72,0.192,62,70,24,1.9
3.1,64,73,0.024,60,65,22,1.3
12.4,73,82,1.344,71,61,23,6.5
1.3,67,67,0.144,73,68,28,1
4,67,76,0.144,64,68,21,2.3
3.8,66,75,0.144,61,63,21,1.9
0.963,60,71,0.048,56,54,22,0.55
3.7,64,78,0.024,65,45,20,1.3
0.189,51,60,0.0288,49,54,22,0.13
35.7,77,83,0.912,72,78,23,15.5
1.1,60,73,0.0264,58,59,20,0.6
0.821,61,66,0.096,53,46,23,0.45
1.1,63,68,0.036,59,52,24,0.65
1.4,61,71,0.144,54,62,20,0.725
0.279,53,60,0.024,44,41,23,0.18
1.3,67,67,0.288,71,61,31,0.85
12,73,80,0.528,72,78,21,6
6.1,73,73,1.632,73,78,27,3.2
2.5,68,68,0.24,68,71,28,1.2
2,66,69,0.192,66,65,25,1.1
14.8,75,78,1.776,69,78,25,7.5
0.66,62,62,0.192,53,60,29,0.4
4.3,68,79,0.0312,69,67,21,2.7
34.2,79,80,0.768,76,75,28,16.5
1.5,73,73,0.48,65,59,34,1
2.3,64,73,0.048,66,57,21,1.3
4.3,65,80,0.624,58,55,19,1.6
3.1,66,75,0.096,68,73,23,1.9
0.833,58,69,0.192,50,58,22,0.45
4.4,65,78,0.096,57,63,21,1.8
1.9,66,68,0.024,65,55,28,0.85
1.9,64,71,0.096,63,61,24,1.1
2.1,62,72,0.192,48,62,21,0.9
0.518,60,63,0.096,50,55,26,0.3
2.1,70,70,0.384,66,67,29,1.4
0.213,58,58,0.048,56,28,30,0.17
0.186,60,60,0.096,57,41,33,0.12
0.945,61,67,0.288,56,62,23,0.525
0.234,49,63,0.0312,55,53,19,0.11
0.531,54,69,0.036,50,49,19,0.25
1.5,69,69,0.0288,69,62,34,0.675
0.808,60,67,0.096,58,40,22,0.475
0.425,55,62,0.048,36,60,23,0.25
2,65,70,0.096,62,69,25,1.1
0.264,58,58,0.024,58,61,31,0.17
10.3,74,78,0.672,70,64,25,5.5
15.3,75,81,0.624,73,77,23,9
7.3,74,74,1.296,81,64,28,4.3
0.569,56,64,0.144,60,55,21,0.325
15.2,76,76,3.456,70,78,27,8
1,70,70,0.144,66,65,34,0.775
60.2,81,82,2.784,78,82,26,30.5
0.525,57,64,0.024,56,60,21,0.3
4.2,73,73,2.88,73,76,31,2.2
1.3,64,67,0.0432,59,66,24,0.8
0.958,62,64,0.144,60,64,24,0.525
8.4,71,80,1.392,68,61,22,4.2
1.1,70,70,0.48,69,62,34,0.525
0.344,60,60,0.0432,50,64,26,0.275
0.78,60,66,0.048,53,59,21,0.4
0.221,51,62,0.048,52,47,22,0.13
3.2,66,74,0.24,65,67,23,1.9
6.7,69,81,0.48,66,69,21,3.2
2.6,70,70,0.288,67,73,30,1.5
1.6,64,70,0.24,62,64,23,0.925
0.7,66,66,0.192,64,67,34,0.4
14.4,76,76,1.68,81,77,27,8
1,68,68,0.144,65,65,33,0.575
1.6,69,69,0.192,70,70,30,1.3
11.5,72,81,0.672,69,73,22,5
2,65,72,0.048,60,67,23,1.4
0.7,60,66,0.096,60,58,24,0.4
3.5,66,78,0.096,56,65,20,2.1
5.4,71,76,0.036,67,73,25,2.5
4.4,66,78,0.144,58,69,19,2
1.4,67,67,0.24,61,44,29,0.85
9.7,70,83,0.24,66,58,21,3.7
0.641,67,67,0.096,54,39,33,0.475
1.5,69,69,0.096,58,48,31,0.95
1.5,67,67,0.096,61,64,31,0.85
19.3,76,79,0.0456,76,68,27,8.5
0.844,66,66,0.192,61,65,31,0.625
1.6,66,71,0.144,64,63,25,1.1
2.2,68,71,0.048,62,64,25,1.5
0.594,64,64,0.0456,63,66,30,0.475
0.616,59,66,0.0264,54,53,22,0.425
141.2,85,88,8.88,86,84,25,71.5
6.7,73,73,0.912,78,75,23,3.5
1.7,66,72,0.048,61,62,24,1.2
2.7,66,73,0.192,73,64,25,1.6
0.915,63,67,0.0336,63,60,25,0.6
1.4,63,69,0.048,55,61,24,0.775
26.4,75,83,0.48,75,65,22,12
0.31,53,61,0.024,45,44,23,0.2
8.4,71,80,0.672,65,74,21,4.2
0.585,58,64,0.048,58,53,24,0.3
0.848,55,70,0.024,51,57,19,0.3
3.6,68,79,0.144,65,61,22,2.5
4,68,75,0.288,69,68,22,2.4
53.3,79,84,2.016,78,80,22,27
2,66,69,0.096,58,63,26,1.1
1.1,60,76,0.0288,55,39,19,0.6
2.1,63,73,0.048,63,36,19,0.975
9.7,72,79,0.528,68,70,23,4.4
2.4,62,77,0.096,59,64,19,0.95
2.4,66,73,0.192,62,66,22,1.6
0.228,54,59,0.0264,50,54,25,0.16
1.2,65,65,0.024,62,60,30,0.575
0.375,52,68,0.024,53,30,18,0.19
3.5,74,74,0.384,72,66,32,2.7
0.444,58,61,0.192,55,58,26,0.25
0.761,60,70,0.0432,59,56,21,0.525
1.8,71,71,0.144,71,64,31,1.3
1.6,64,68,0.024,64,45,26,0.725
1.2,65,68,0.048,57,49,27,0.8
0.406,62,62,0.0432,59,60,31,0.325
1.2,61,69,0.024,55,43,24,0.675
1.4,65,68,0.096,63,69,25,0.95
2.5,60,81,0.024,52,67,17,0.775
2.3,66,72,0.192,64,69,24,1.4
2.9,71,71,0.72,69,73,28,1.9
1.1,59,69,0.048,53,56,19,0.5
7.2,74,74,1.248,72,71,28,3.8
1.5,66,67,0.144,53,68,26,1
0.21,52,58,0.048,53,49,22,0.12
6.8,73,73,0.048,70,72,28,3.1
43.4,81,81,6,82,83,29,25.5
4.3,68,75,0.288,67,72,22,2.5
1.4,62,74,0.0336,59,64,19,0.9
2.7,64,72,0.288,57,62,22,1.3
2.7,68,73,0.144,64,66,25,1.6
0.447,58,63,0.0264,57,51,23,0.275
1.1,63,66,0.144,62,58,26,0.625
3.6,70,76,0.288,70,63,24,2.4
2.5,71,71,0.288,69,66,28,1.7
1.8,64,71,0.192,56,65,23,1.1
0.979,66,66,0.192,62,60,29,0.725
4.3,66,74,0.024,60,60,24,1.8
0.341,58,58,0.096,63,62,27,0.22
4.9,67,77,0.024,66,65,21,2.1
3.1,70,74,0.24,64,50,26,2
6.2,69,78,0.672,70,68,23,3.1
0.569,63,63,0.192,62,53,31,0.325
2.3,66,73,0.096,64,62,25,1.6
0.334,54,63,0.0432,55,43,23,0.23
1.1,64,64,0.096,56,66,27,0.625
1.3,62,70,0.048,46,60,22,0.9
0.866,60,71,0.096,52,60,21,0.525
0.9,59,69,0.144,49,64,21,0.5
18,77,77,1.632,74,77,27,10
2.4,70,70,0.0336,56,65,32,1.1
0.534,61,64,0.048,60,45,25,0.375
10.6,72,79,0.72,68,76,22,4.8
11.3,76,76,1.248,71,77,29,7.5
0.553,63,63,0.096,64,62,29,0.425
2.3,63,73,0.288,63,64,21,1.1
2.1,67,72,0.24,56,67,24,1.5
0.784,63,64,0.096,57,65,27,0.55
6.1,72,73,0.336,65,70,26,2.8
3.9,67,78,0.288,59,63,21,2.2
2.9,65,76,0.432,62,50,23,1.5
3.2,64,76,0.144,60,70,19,1.4
12.6,74,80,1.92,66,69,23,6
0.502,60,63,0.048,57,51,26,0.275
0.594,63,63,0.048,58,63,27,0.475
0.866,61,67,0.048,50,51,24,0.525
2.3,67,72,0.096,67,66,25,1.4
29.5,76,84,1.488,76,68,23,15.5
0.541,53,65,0.024,52,43,20,0.23
1.3,62,70,0.0288,60,64,22,0.85
5.5,70,76,0.576,62,72,23,2.5
2.2,63,78,0.048,61,66,19,1.1
5.8,77,77,2.064,78,69,34,3.4
21.7,77,79,1.44,76,60,27,11
1.8,66,66,0.024,55,61,30,0.825
2.5,67,71,0.528,60,64,24,1.4
1,69,69,0.024,59,73,34,0.475
4.6,73,73,0.48,66,77,30,2.9
1.8,71,71,0.336,66,62,31,1.4
3.7,68,75,0.144,66,65,24,2.4
2.1,70,72,0.192,66,57,28,1.6
0.202,51,61,0.024,43,50,20,0.13
1.8,62,71,0.048,55,60,21,0.9
0.906,65,65,0.048,64,65,28,0.725
0.73,62,63,0.096,55,59,27,0.4
0.686,61,64,0.096,56,59,25,0.45
1.2,60,72,0.048,54,64,20,0.6
10.9,75,76,1.344,75,81,28,5.5
0.488,62,62,0.144,58,68,32,0.325
0.719,68,68,0.096,65,60,33,0.575
2.3,64,75,0.048,54,64,21,1.2
2.6,68,68,0.024,64,68,28,1.2
3.2,67,70,0.024,61,65,25,1.4
1.2,56,76,0.288,48,59,19,0.4
1.3,64,69,0.096,62,64,24,0.875
2.9,71,72,0.24,68,70,27,1.9
1.7,70,70,0.144,63,55,31,1.1
6.8,74,74,0.768,70,67,29,3.6
1.1,60,70,0.048,60,65,21,0.55
5.5,67,79,0.192,63,69,22,2.5
1.2,58,72,0.048,59,46,19,0.45
2.2,67,72,0.24,63,64,25,1.4
0.33,53,64,0.036,50,53,19,0.2
0.928,64,65,0.288,62,65,27,0.675
0.962,63,68,0.096,63,57,24,0.675
2.6,65,72,0.144,62,65,21,1.5
1.8,61,69,0.024,62,63,21,0.75
4.5,66,84,0.096,56,60,19,2.1
19.8,75,81,0.912,71,73,23,9
1.3,67,67,0.288,65,55,31,0.7
1.6,59,79,0.048,57,62,19,0.625
1.8,68,68,0.144,62,69,31,1
2.1,63,73,0.048,61,64,21,1.1
1.1,66,66,0.336,59,58,29,0.725
2.5,69,72,0.336,64,56,26,1.6
9.5,77,77,2.64,78,63,33,5
0.744,63,63,0.096,58,60,30,0.425
0.778,57,71,0.048,47,47,19,0.375
3.4,70,70,0.24,69,70,28,1.6
6.5,71,78,0.432,69,72,22,3.8
3.5,70,74,0.336,67,46,24,2.1
3.1,70,73,0.144,68,67,26,1.9
2,68,68,0.384,54,64,29,1
16,74,81,1.008,74,64,24,8
3.8,71,71,0.912,70,72,27,2
0.867,62,63,0.096,58,61,27,0.475
0.656,56,72,0.024,44,64,18,0.35
2.4,68,68,0.528,63,72,28,1.2
8,76,76,1.248,78,74,31,5
0.297,59,59,0.24,53,60,32,0.18
0.814,63,63,0.144,62,62,26,0.525
0.723,59,66,0.048,55,57,24,0.425
23,78,78,2.976,79,82,29,13.5
0.543,62,62,0.096,56,57,30,0.35
0.744,63,63,0.192,60,57,30,0.425
0.45,53,70,0.024,46,61,19,0.24
14,76,76,2.16,76,79,30,7
2.8,68,73,0.192,60,67,24,1.8
1.5,62,72,0.096,52,63,20,0.875
13.8,74,80,0.816,70,68,24,6
1.2,61,67,0.024,54,56,23,0.525
0.348,54,65,0.0336,50,57,22,0.24
1.1,64,65,0.096,70,67,26,0.7
1.9,70,70,0.288,67,71,30,1.5
1.5,63,70,0.096,56,47,22,0.9
0.776,68,68,0.288,67,70,34,0.575
0.736,63,63,0.048,55,66,30,0.475
4.6,65,78,0.096,61,52,21,1.7
0.613,59,65,0.0288,54,60,22,0.35
3.5,71,71,0.0312,66,65,30,1.6
0.497,60,65,0.0384,52,60,24,0.375
1.7,63,72,0.048,60,59,20,1
1.1,67,67,0.144,64,66,31,0.85
8.8,75,75,0.288,69,78,29,5.5
0.913,63,64,0.096,57,60,27,0.5
17.1,74,82,0.912,72,75,22,9
0.88,68,68,0.024,69,67,36,0.4
4.4,76,76,0.576,69,65,35,2.3
4.4,73,73,0.384,74,73,30,2.9
0.458,59,62,0.048,45,64,23,0.3
2.2,66,72,0.192,65,71,24,1.3
0.31,58,58,0.144,52,56,26,0.2
1.5,65,70,0.144,63,64,23,1.1
1.2,65,65,0.048,61,69,27,0.75
3,69,69,0.48,59,67,26,1.5
3.8,67,78,0.144,57,70,22,2.3
40.5,79,82,2.4,78,77,26,20.5
0.423,67,67,0.096,65,64,35,0.325
1.2,60,76,0.0264,52,66,18,0.625
65.3,81,82,2.016,82,84,26,30
0.406,62,62,0.048,56,67,32,0.325
0.797,57,71,0.0432,42,54,20,0.375
0.357,59,59,0.096,57,61,28,0.23
2,60,82,0.024,59,62,17,0.775
1.5,64,70,0.096,63,67,23,0.925
0.805,68,68,0.24,64,68,34,0.575
4.6,67,77,0.672,61,68,21,2.3
0.385,53,65,0.024,52,54,18,0.22
2.5,72,72,0.288,71,72,31,1.7
13.4,76,77,0.432,70,80,27,8.5
0.928,63,68,0.048,65,64,25,0.7
25.5,79,79,1.344,77,81,30,17
6.3,75,75,1.056,74,61,31,3.8
1.8,63,71,0.048,55,67,23,1.1
3.5,66,76,0.096,55,72,21,1.8
8.8,73,79,0.96,71,66,22,4.4
2.4,71,71,0.288,65,70,29,1.9
1.7,67,67,0.192,64,62,30,0.975
12.2,75,76,1.104,83,75,27,6.5
1.8,63,69,0.024,49,61,24,0.75
11.6,76,76,0.72,75,76,30,7
8,74,74,0.576,73,63,23,4.2
0.1,60,60,0.048,51,67,38,0.08
6.8,70,77,0.288,66,67,23,3
0.299,56,61,0.024,51,60,25,0.21
1.6,67,67,0.48,70,69,31,0.825
1.1,60,73,0.048,59,60,20,0.575
3.4,72,72,0.672,68,75,30,2.2
3.6,71,71,0.624,70,59,23,1.9
0.963,63,64,0.192,62,61,27,0.5
0.504,56,64,0.048,49,63,21,0.325
4,67,78,0.048,68,68,21,2.3
5.7,76,76,0.0408,74,73,34,2.6
5.1,72,72,0.048,68,67,30,2.3
1.4,68,68,0.096,68,69,29,1
1.3,70,70,0.336,70,72,33,0.8
14.3,76,76,4.32,75,78,28,7.5
0.157,53,54,0.024,50,57,26,0.11
1.6,68,68,0.096,66,63,30,1.2
2.4,73,73,0.0408,75,67,34,1.1
1.9,64,71,0.096,52,61,23,1.1
1.9,68,69,0.192,66,66,27,1.4
0.86,68,68,0.024,64,62,34,0.4
1.7,67,67,0.384,67,65,30,0.85
78.2,80,86,1.776,79,84,22,34
4.4,72,77,0.48,68,69,25,3.2
0.543,57,68,0.0264,39,57,20,0.35
1.6,61,76,0.0264,57,51,18,0.725
4.7,71,75,0.672,68,63,23,2.4
4.8,65,79,0.024,63,65,19,1.7
8.8,74,74,1.104,70,75,28,4.2
6.1,70,79,0.336,68,70,23,3.6
3.2,66,74,0.144,66,61,22,1.8
0.39,53,64,0.048,46,30,21,0.2
8.7,73,77,1.296,72,66,23,4.4
1.8,65,70,0.096,60,63,23,0.975
1.2,61,71,0.048,53,58,22,0.75
0.45,65,65,0.144,66,64,35,0.3
1.2,63,68,0.144,54,65,23,0.725
0.28,57,57,0.096,55,55,30,0.16
0.639,60,64,0.096,58,63,22,0.35
6.3,69,78,0.72,64,69,23,3
0.228,55,57,0.024,52,54,26,0.14
0.58,62,62,0.0432,59,55,28,0.4
0.278,50,68,0.048,47,32,18,0.11
6,72,75,0.72,68,73,25,2.9
1.6,66,69,0.096,63,66,26,1.1
0.211,54,58,0.096,55,49,26,0.13
0.468,55,64,0.048,42,54,22,0.275
22.3,77,78,2.064,76,66,27,10.5
2.5,68,71,0.288,67,65,24,1.6
0.975,69,69,0.336,64,70,34,0.65
46.2,77,84,0.672,78,81,23,21
2.1,64,75,0.048,60,68,20,1.3
3.4,71,74,0.096,73,70,26,2.4
1.2,64,65,0.144,59,64,26,0.675
0.626,55,73,0.0384,54,60,18,0.325
143.2,86,89,4.032,85,73,23,83
4.5,69,76,0.24,70,67,23,2.8
6.5,70,80,0.24,64,75,21,3.6
1,61,67,0.096,57,60,23,0.525
1.1,64,64,0.192,66,67,29,0.575
1.8,65,71,0.096,62,70,24,1.1
4.6,74,74,1.68,72,61,32,2.7
1.4,62,70,0.048,60,54,22,0.825
2.5,70,70,0.336,67,73,26,1.7
0.552,54,62,0.024,49,50,21,0.23
2.3,64,74,0.096,61,60,22,1.3
4.6,69,75,0.816,72,72,23,2.2
2.6,64,75,0.384,60,64,20,1.3
3.4,69,75,0.288,62,58,23,2
0.638,54,69,0.024,47,35,18,0.23
2.6,67,72,0.096,62,62,23,1.4
2.7,72,72,0.528,68,72,32,1.8
1.8,61,74,0.048,46,61,20,0.75
10,74,75,0.768,68,69,27,4.4
1.2,64,65,0.096,62,66,27,0.675
29.5,76,83,2.112,75,76,22,15.5
1.2,63,68,0.096,57,57,24,0.675
0.593,59,64,0.096,55,55,22,0.325
0.213,60,60,0.0312,59,32,31,0.17
0.709,56,74,0.0288,44,57,18,0.35
1.2,65,66,0.144,56,56,27,0.75
3.7,72,73,0.96,69,60,28,2.2
3.7,64,78,0.096,63,69,18,1.4
0.698,66,66,0.096,61,66,33,0.45
1.8,63,75,0.096,61,64,19,1.1
1.8,62,70,0.096,59,63,22,0.9
4.7,68,76,0.192,64,64,23,2.6
4.3,71,74,1.152,68,64,25,2.2
2.6,69,69,0.0264,70,60,29,1.2
0.968,66,66,0.024,51,40,33,0.45
9.2,74,77,1.2,70,72,27,4.9
0.701,58,66,0.048,53,58,23,0.425
1.4,66,69,0.096,62,62,25,1
68.3,83,85,3.84,83,76,27,38.5
11.6,72,82,1.392,65,70,21,5.5
1.4,64,70,0.096,58,62,24,0.875
1.9,67,70,0.096,58,69,25,1.3
0.149,54,54,0.024,49,54,28,0.11
1.1,59,73,0.048,47,66,20,0.55
3.9,70,71,0.0264,62,67,27,1.7
4.5,72,72,0.576,71,75,29,2.3
13.2,75,75,1.008,71,76,27,6
0.548,59,62,0.144,60,59,24,0.3
71.4,84,84,4.128,84,86,28,42
0.406,68,68,0.096,54,57,35,0.325
1.9,70,70,0.816,66,45,32,1
2.5,67,72,0.096,65,74,25,1.5
1.6,61,75,0.048,50,35,21,0.75
1.8,65,68,0.024,59,61,26,0.825
7.8,75,75,1.632,75,78,30,4.6
15.8,76,76,0.048,76,79,28,7.5
1.2,66,66,0.048,63,68,29,0.85
5.9,68,80,0.432,65,63,21,2.8
4.4,70,76,0.24,57,70,22,2.6
9.3,76,76,0.816,74,74,32,6
37,78,79,1.296,74,83,25,17
0.534,61,62,0.096,58,47,27,0.35
0.563,55,70,0.0264,42,54,19,0.3
3.1,67,74,0.144,65,62,24,1.9
0.356,52,66,0.0384,47,51,20,0.19
1.1,66,66,0.024,62,63,33,0.525
2.8,71,73,0.384,65,58,28,1.9
5.6,72,76,0.72,71,59,23,3
4,67,76,0.288,61,57,21,2.1
6.1,72,78,0.576,67,72,22,3.8
3.9,67,79,0.192,61,67,20,2.5
0.293,55,58,0.024,43,57,22,0.18
4.1,68,75,0.336,65,73,23,2.4
1.8,67,70,0.144,63,63,25,1.2
0.264,60,60,0.192,54,62,32,0.16
0.74,58,65,0.144,54,61,24,0.4
0.319,54,64,0.024,48,49,19,0.22
0.819,63,64,0.096,58,61,26,0.575
3.7,64,78,0.024,54,56,19,1.3
0.958,62,66,0.096,54,48,23,0.525
5.5,72,77,0.816,74,54,25,3.1
0.504,67,67,0.192,66,64,34,0.325
1.1,59,72,0.0288,55,59,20,0.525
2.6,69,69,0.0264,63,66,30,1.2
124.4,85,87,6.24,83,79,24,63
2.6,71,71,0.48,65,77,30,1.8
2.4,71,71,0.288,66,71,29,1.6
3.6,68,73,0.192,66,68,24,1.7
2.3,68,70,0.288,66,69,25,1.4
2.4,69,72,0.336,65,63,25,1.7
0.543,57,67,0.0432,58,63,19,0.35
64.2,81,84,3.552,78,83,23,32.5
0.825,59,67,0.048,63,61,21,0.5
5.9,67,79,0.024,58,65,20,2.5
7.7,75,75,0.048,78,79,33,3.5
8.4,73,79,1.344,69,76,23,4.4
1.9,66,72,0.144,67,66,24,1.3
1.7,67,68,0.24,66,68,27,1.2
2.3,69,69,0.336,66,68,28,1.2
0.831,59,68,0.048,53,59,22,0.475
0.261,49,63,0.096,50,49,19,0.11
0.594,63,63,0.144,63,64,30,0.475
2.4,69,69,0.48,69,68,31,1.2
2.4,63,73,0.024,52,54,19,1
1.9,68,68,0.24,56,70,29,1.2
0.674,56,71,0.048,60,54,19,0.325
3.6,68,76,0.096,66,67,23,2.5
1.9,67,71,0.24,62,69,25,1.4
3.3,69,71,0.024,50,39,26,1.5
197.6,86,91,8.4,84,68,24,93
6.1,74,74,1.152,69,74,32,2.9
2.3,71,71,0.288,66,71,30,1.8
6.3,72,76,0.768,69,59,25,2.9
1.3,60,69,0.024,48,62,20,0.55
0.426,55,64,0.048,52,54,20,0.275
3.5,73,73,0.192,67,73,31,2.5
3.7,67,75,0.24,65,67,21,2.2
1.7,63,70,0.192,56,65,23,0.975
1.5,60,73,0.144,63,60,21,0.6
5.1,64,84,0.024,54,63,18,1.6
1.9,61,80,0.144,60,63,18,0.825
2.9,71,71,0.432,63,68,27,2
5.4,68,76,0.432,59,70,21,2.7
0.986,58,71,0.024,53,59,20,0.475
2.1,70,70,0.144,73,74,31,1.3
47.3,77,84,1.968,76,77,23,21
2.8,69,71,0.48,69,64,26,1.5
23.1,77,77,1.152,75,78,27,11
0.399,66,66,0.096,64,73,36,0.275
0.202,52,58,0.024,35,50,24,0.13
0.153,50,57,0.0456,46,35,23,0.09
4,71,71,0.0312,72,70,29,1.8
2.6,66,73,0.048,66,67,22,1.7
0.362,56,61,0.144,52,55,25,0.21
1.6,66,70,0.096,57,64,25,1.1
0.743,64,64,0.096,62,65,30,0.55
1.2,71,71,0.432,58,62,34,0.6
1.9,62,78,0.0432,58,67,18,1
3.9,69,71,0.024,64,70,26,1.7
0.613,56,68,0.024,50,57,20,0.35
1.5,66,66,0.336,61,63,29,0.85
2,61,74,0.024,53,44,18,0.725
1.4,64,69,0.048,56,63,25,0.875
5.1,66,79,0.288,61,64,19,2
2.9,72,72,0.432,71,75,29,2
13.3,75,78,0.768,74,81,25,7.5
9.9,76,76,1.248,75,72,31,6
0.814,60,68,0.036,42,40,22,0.525
0.666,58,64,0.096,54,57,23,0.325
0.42,55,62,0.048,50,43,23,0.24
2.5,64,76,0.048,63,46,20,1.3
0.193,59,59,0.096,60,59,34,0.11
1.7,58,79,0.024,56,59,17,0.6
1.2,67,67,0.336,62,47,31,0.7
3,69,74,0.096,64,52,25,1.8
0.356,59,60,0.096,60,56,27,0.25
2.5,68,71,0.288,63,68,25,1.6
0.233,59,59,0.0312,53,55,32,0.15
2.7,66,73,0.192,64,48,22,1.6
44.6,79,80,1.536,75,81,26,20.5
4.5,66,74,0.024,60,69,23,1.9
0.488,57,63,0.096,54,56,23,0.25
1.8,63,71,0.048,59,66,22,1.1
10.4,73,79,0.624,72,75,21,4.5
0.819,63,66,0.048,65,58,26,0.575
1,60,71,0.048,55,57,19,0.525
1.1,60,69,0.288,51,40,24,0.5
2.3,69,70,0.336,63,69,27,1.6
0.66,63,63,0.192,61,57,29,0.4
2.7,70,70,0.864,75,73,29,1.6
1.4,69,69,0.0264,63,66,34,0.65
4.9,70,76,0.24,60,69,24,2.5
0.104,60,60,0.096,47,51,34,0.08
0.839,57,74,0.0288,57,63,18,0.425
3,68,74,0.144,55,65,23,1.8
2.9,66,77,0.144,64,68,22,1.9
1.6,63,70,0.096,56,65,23,0.975
11.4,74,77,0.96,69,75,25,5.5
10.3,75,76,0.768,70,75,28,5.5
2.2,66,69,0.024,63,61,25,1
1.1,64,67,0.096,62,56,26,0.675
6.6,73,73,0.816,68,73,28,3
4.6,70,75,0.48,68,70,23,2.2
2.2,65,72,0.144,60,56,24,1.4
3.8,70,71,0.528,63,56,27,1.9
1,64,64,0.048,62,65,27,0.575
0.276,56,59,0.144,51,32,25,0.17
1.8,68,69,0.24,65,56,28,1.1
0.447,58,62,0.144,56,57,25,0.275
3,68,70,0.024,64,58,26,1.3
4.5,68,80,0.192,65,69,21,2.8
0.924,57,73,0.024,40,58,18,0.425
1.9,68,68,0.336,68,66,29,1
0.63,54,68,0.048,46,49,19,0.24
3.1,66,75,0.192,58,65,22,1.8
1.7,69,69,0.288,76,70,32,1.1
1.5,69,69,0.48,66,61,31,1
0.891,64,65,0.096,60,62,27,0.625
0.634,56,65,0.048,54,56,23,0.325
121.5,84,88,6.96,82,84,22,61.5
0.748,62,65,0.048,58,64,26,0.475
2.7,64,79,0.0264,62,68,18,1.3
3.2,65,77,0.24,68,69,20,1.7
0.831,63,63,0.24,60,62,29,0.475
3.4,66,76,0.048,66,70,22,1.9
3,70,70,0.96,65,70,29,1.6
2.2,65,72,0.096,58,63,22,1.4
0.155,49,60,0.024,44,34,20,0.1
1.9,69,69,0.192,63,67,28,1.3
4,68,74,0.384,65,66,24,1.9
0.581,60,66,0.096,61,55,23,0.375
7.1,74,74,0.72,74,74,26,4.7
1.4,67,67,0.024,57,64,32,0.65
0.855,60,67,0.036,59,55,22,0.475
3.8,73,73,0.336,75,72,30,2.9
2.1,64,71,0.048,61,61,23,1.2
0.594,63,63,0.096,58,59,28,0.475
0.426,61,61,0.096,61,54,30,0.275
0.867,62,65,0.048,56,59,24,0.475
2.5,70,70,0.384,69,73,29,1.6
1.5,59,79,0.024,50,62,17,0.6
19.2,77,80,0.72,77,79,25,13
0.926,65,66,0.144,57,55,29,0.65
0.403,56,62,0.024,63,50,22,0.23
4.3,65,79,0.336,45,69,19,1.7
4.3,70,71,0.0264,63,71,26,1.9
2,64,75,0.096,60,65,20,1.2
0.87,57,70,0.0264,61,61,21,0.4
1.6,65,65,0.024,54,69,27,0.75
1.3,64,67,0.144,60,60,25,0.725
1.5,63,73,0.0288,56,57,21,1
3.2,64,76,0.144,63,67,22,1.4
68.3,82,86,5.04,80,83,25,38.5
2.8,68,74,0.096,63,67,23,1.9
1.1,65,65,0.24,60,62,30,0.7
1.5,65,70,0.048,66,64,25,0.95
0.471,63,63,0.0432,64,59,32,0.325
0.831,64,64,0.096,62,62,32,0.475
0.975,62,67,0.0336,58,64,25,0.6
1.1,60,71,0.048,69,57,20,0.55
0.419,59,61,0.048,45,61,25,0.275
0.098,50,55,0.096,48,31,20,0.06
9.8,73,78,1.008,64,72,25,4.5
6.2,66,82,0.024,66,73,19,2.2
3.3,63,80,0.144,57,58,20,1.3
4.6,68,77,0.24,65,66,23,2.7
2.4,68,71,0.192,65,68,25,1.6
1.8,70,70,0.48,69,64,30,1.3
1.6,61,78,0.0288,53,60,19,0.85
0.926,59,68,0.048,50,59,19,0.475
11.4,76,76,1.968,73,74,32,6
0.724,62,65,0.096,62,51,25,0.475
7.3,73,76,0.816,65,68,26,3.5
16,82,82,0.672,81,66,35,8
4.2,67,78,0.096,63,66,20,2.1
3.2,69,74,0.576,67,66,25,1.9
0.155,50,59,0.024,40,49,23,0.1
1.9,62,70,0.48,64,66,22,0.9
11.1,76,76,1.392,79,72,31,6.5
0.328,55,60,0.144,50,55,24,0.19
1.3,67,67,0.288,60,65,29,1
2.6,69,70,0.288,63,60,26,1.4
1.3,62,68,0.096,59,60,21,0.65
1.1,67,67,0.288,66,64,33,0.65
3.6,67,73,0.528,62,63,22,1.7
3.5,67,75,0.144,66,60,20,2.1
1.7,72,72,0.288,69,73,33,1.2
2.5,69,71,0.288,64,62,25,1.6
3.2,66,75,0.144,62,60,23,1.8
1.4,61,70,0.096,56,50,23,0.675
1.4,58,75,0.096,54,62,19,0.525
1.9,62,69,0.024,64,60,20,0.8
0.642,55,71,0.024,41,60,17,0.325
9.1,71,78,0.0384,68,70,24,3.8
0.557,55,69,0.024,52,33,19,0.275
2,71,71,0.192,65,63,32,1.5
2.3,64,75,0.096,58,61,20,1.3
3.1,69,71,0.192,61,80,25,1.7
1.4,62,71,0.024,61,71,20,0.875
4.9,68,78,0.096,62,67,22,2.7
0.863,68,68,0.24,59,65,33,0.575
4.1,72,72,0.528,68,66,29,2.1
0.261,52,63,0.0336,40,49,20,0.18
1.1,60,72,0.0264,59,65,20,0.6
0.844,55,76,0.024,46,53,17,0.375
1.7,64,74,0.048,62,65,21,1.2
0.488,59,63,0.0264,56,59,23,0.3
1.1,65,65,0.048,63,66,27,0.775
0.906,65,65,0.096,63,63,28,0.625
